Datum;Stängning
2000-01-03;692.54
2000-01-04;673.47
2000-01-05;657.95
2000-01-07;669.69
2000-01-10;698.37
2000-01-11;693.25
2000-01-12;692.85
2000-01-13;690.37
2000-01-14;678.98
2000-01-17;680.1
2000-01-18;679.02
2000-01-19;675.6
2000-01-20;680.51
2000-01-21;679.04
2000-01-24;667.03
2000-01-25;660.93
2000-01-26;657.15
2000-01-27;660.68
2000-01-28;665.13
2000-01-31;654.97
2000-02-01;657.27
2000-02-02;673.7
2000-02-03;661.83
2000-02-04;660.19
2000-02-07;661.73
2000-02-08;668.92
2000-02-09;681.32
2000-02-10;684.59
2000-02-11;665.09
2000-02-14;666.3
2000-02-15;651.18
2000-02-16;646.51
2000-02-17;641.57
2000-02-18;649.88
2000-02-21;663.96
2000-02-22;654.72
2000-02-23;658.57
2000-02-24;654.45
2000-02-25;650.99
2000-02-28;650.58
2000-02-29;647.59
2000-03-01;653.11
2000-03-02;652.47
2000-03-03;647.09
2000-03-06;640.32
2000-03-07;642.66
2000-03-08;635.94
2000-03-09;632.82
2000-03-10;632.46
2000-03-13;614.7
2000-03-14;606.26
2000-03-15;598.34
2000-03-16;634.25
2000-03-17;655.25
2000-03-20;649.07
2000-03-21;642.58
2000-03-22;636.21
2000-03-23;642.47
2000-03-24;648.21
2000-03-27;656.3
2000-03-28;661.34
2000-03-29;667.79
2000-03-30;664.79
2000-03-31;669.48
2000-04-03;663.93
2000-04-04;697.36
2000-04-05;683.25
2000-04-06;686.74
2000-04-07;683.3
2000-04-10;684.84
2000-04-11;707.25
2000-04-12;734.34
2000-04-13;777.1
2000-04-14;768.46
2000-04-17;757.54
2000-04-18;762.68
2000-04-19;743.84
2000-04-20;735.9
2000-04-25;745.33
2000-04-26;761.83
2000-04-27;764.64
2000-04-28;762.78
2000-05-02;777.26
2000-05-03;779.89
2000-05-04;769.16
2000-05-05;765.25
2000-05-08;759.07
2000-05-09;759.54
2000-05-10;761.98
2000-05-11;763.98
2000-05-12;765.82
2000-05-15;764.87
2000-05-16;775.46
2000-05-17;780.14
2000-05-18;774.05
2000-05-19;782.12
2000-05-22;780.75
2000-05-23;792.7
2000-05-24;786.75
2000-05-25;787.17
2000-05-26;790.45
2000-05-29;790.2
2000-05-30;787.17
2000-05-31;792.71
2000-06-02;785.67
2000-06-05;774.22
2000-06-06;768.52
2000-06-07;774.46
2000-06-08;771.56
2000-06-09;766.58
2000-06-13;749.92
2000-06-14;755.43
2000-06-15;752.97
2000-06-16;743.7
2000-06-19;742.28
2000-06-20;762.49
2000-06-21;774.53
2000-06-22;777.13
2000-06-26;798.22
2000-06-27;783.51
2000-06-28;798.87
2000-06-29;805.45
2000-06-30;830.23
2000-07-03;823
2000-07-04;833.73
2000-07-05;826.86
2000-07-06;830.06
2000-07-07;813.08
2000-07-10;814.16
2000-07-11;818.04
2000-07-12;823.06
2000-07-13;836.06
2000-07-14;841.99
2000-07-17;844.59
2000-07-18;838.46
2000-07-19;848.32
2000-07-20;842.88
2000-07-21;839.06
2000-07-24;860.36
2000-07-25;863.51
2000-07-26;854.37
2000-07-27;859.72
2000-07-28;858.86
2000-07-31;863.73
2000-08-01;856.88
2000-08-02;878.69
2000-08-03;867.82
2000-08-04;872.81
2000-08-07;874.2
2000-08-08;886.5
2000-08-09;905.6
2000-08-10;897.22
2000-08-11;889.67
2000-08-14;897.62
2000-08-15;895.67
2000-08-16;891.74
2000-08-17;885.46
2000-08-18;881.55
2000-08-21;883.57
2000-08-22;881.18
2000-08-23;879.54
2000-08-24;863.19
2000-08-25;885.91
2000-08-28;895.42
2000-08-29;883.62
2000-08-30;896.26
2000-08-31;897.5
2000-09-01;885.9
2000-09-04;887.05
2000-09-05;900.57
2000-09-06;899.77
2000-09-07;894.7
2000-09-08;881.34
2000-09-11;865.44
2000-09-12;861.2
2000-09-13;857.62
2000-09-14;865.66
2000-09-15;856.07
2000-09-18;846.44
2000-09-19;863.68
2000-09-20;858.84
2000-09-21;866.62
2000-09-22;887.44
2000-09-25;872.7
2000-09-26;889.22
2000-09-27;910.45
2000-09-28;906.91
2000-09-29;913.11
2000-10-02;916.37
2000-10-03;919.13
2000-10-04;913.26
2000-10-05;923.84
2000-10-06;913.11
2000-10-09;894.78
2000-10-10;900
2000-10-11;881.3
2000-10-12;873.32
2000-10-13;873.39
2000-10-16;878.76
2000-10-17;876.75
2000-10-18;856.03
2000-10-19;858.54
2000-10-20;911.25
2000-10-23;919.47
2000-10-24;929.19
2000-10-25;935.68
2000-10-26;928.47
2000-10-27;947.08
2000-10-30;951.82
2000-10-31;954.16
2000-11-01;948.1
2000-11-02;965.91
2000-11-03;971.76
2000-11-06;984.73
2000-11-07;995.62
2000-11-08;982.31
2000-11-09;984.89
2000-11-10;979.44
2000-11-13;969.04
2000-11-14;980.5
2000-11-15;973.25
2000-11-16;979.66
2000-11-17;962.26
2000-11-20;972.48
2000-11-21;964.27
2000-11-22;934.16
2000-11-23;918.65
2000-11-24;919.84
2000-11-27;947.97
2000-11-28;936.71
2000-11-29;930.5
2000-11-30;914.86
2000-12-01;919.12
2000-12-04;902.2
2000-12-05;887.55
2000-12-06;876.08
2000-12-07;895.34
2000-12-08;884.18
2000-12-11;902.69
2000-12-12;920.74
2000-12-13;908.29
2000-12-14;892.71
2000-12-15;894.76
2000-12-18;915.77
2000-12-19;919.96
2000-12-20;916.02
2000-12-21;903.82
2000-12-22;914.85
2000-12-27;945.85
2000-12-28;944.6
2000-12-29;924.85
2001-01-02;947.8
2001-01-03;904.43
2001-01-04;946.39
2001-01-05;952.86
2001-01-08;968.08
2001-01-09;972.61
2001-01-10;954.58
2001-01-11;958.32
2001-01-12;955.13
2001-01-15;961.72
2001-01-16;944.82
2001-01-17;962.72
2001-01-18;976.1
2001-01-19;996.26
2001-01-22;992.75
2001-01-23;981.27
2001-01-24;994.88
2001-01-25;994.04
2001-01-26;982.95
2001-01-29;972.66
2001-01-30;969.75
2001-01-31;979.3
2001-02-01;970.51
2001-02-02;947.04
2001-02-05;929.43
2001-02-06;944.2
2001-02-07;933.48
2001-02-08;925.3
2001-02-09;917.76
2001-02-12;898.25
2001-02-13;888.87
2001-02-14;883.1
2001-02-15;922.34
2001-02-16;917.78
2001-02-19;934.21
2001-02-20;915.93
2001-02-21;898.69
2001-02-22;909.53
2001-02-23;909.7
2001-02-26;916.38
2001-02-27;916.6
2001-02-28;928.5
2001-03-01;911.88
2001-03-02;915.28
2001-03-05;918.99
2001-03-06;930.16
2001-03-07;943.1
2001-03-08;925.78
2001-03-09;926.95
2001-03-12;903.96
2001-03-13;909.88
2001-03-14;882.05
2001-03-15;906.37
2001-03-16;897.95
2001-03-19;870.09
2001-03-20;878.64
2001-03-21;837.95
2001-03-22;802.41
2001-03-23;822.7
2001-03-26;868.73
2001-03-27;870.85
2001-03-28;816.3
2001-03-29;810.95
2001-03-30;812.6
2001-04-02;781.28
2001-04-03;770.55
2001-04-04;803.64
2001-04-05;834.24
2001-04-06;800.69
2001-04-09;830.96
2001-04-10;826.2
2001-04-11;794.09
2001-04-12;776.63
2001-04-17;787.62
2001-04-18;821.28
2001-04-19;833.58
2001-04-20;822.52
2001-04-23;811.19
2001-04-24;810.12
2001-04-25;815.67
2001-04-26;799.33
2001-04-27;814.02
2001-04-30;821.75
2001-05-02;818.62
2001-05-03;818.7
2001-05-04;843.69
2001-05-07;850.32
2001-05-08;834.72
2001-05-09;840.31
2001-05-10;857.93
2001-05-11;849.52
2001-05-14;846.68
2001-05-15;844.88
2001-05-16;845.48
2001-05-17;848.57
2001-05-18;844.67
2001-05-21;854.39
2001-05-22;849.32
2001-05-23;830.86
2001-05-25;835.47
2001-05-28;826.04
2001-05-29;817.46
2001-05-30;814.04
2001-05-31;813.81
2001-06-01;816.22
2001-06-05;839.96
2001-06-06;832.61
2001-06-07;823.48
2001-06-08;815.77
2001-06-11;804.32
2001-06-12;814.13
2001-06-13;839.41
2001-06-14;833.38
2001-06-15;846.99
2001-06-18;831.72
2001-06-19;819.05
2001-06-20;821.54
2001-06-21;821.52
2001-06-25;821.01
2001-06-26;821.62
2001-06-27;829.53
2001-06-28;840.24
2001-06-29;841.16
2001-07-02;850.49
2001-07-03;844.28
2001-07-04;839.47
2001-07-05;836.73
2001-07-06;807.49
2001-07-09;787
2001-07-10;792.95
2001-07-11;786.37
2001-07-12;787.03
2001-07-13;795.95
2001-07-16;799.65
2001-07-17;791.26
2001-07-18;774.94
2001-07-19;787.03
2001-07-20;781.61
2001-07-23;791.2
2001-07-24;783.36
2001-07-25;784.6
2001-07-26;786.56
2001-07-27;799.71
2001-07-30;800.5
2001-07-31;812.72
2001-08-01;810.27
2001-08-02;803.56
2001-08-03;798.7
2001-08-06;802.24
2001-08-07;804.62
2001-08-08;804.09
2001-08-09;791.34
2001-08-10;779.77
2001-08-13;785.7
2001-08-14;796.9
2001-08-15;799.31
2001-08-16;801.64
2001-08-17;793.89
2001-08-20;779.69
2001-08-21;785.92
2001-08-22;815.76
2001-08-23;821.85
2001-08-24;834.91
2001-08-27;828.2
2001-08-28;824.85
2001-08-29;825.74
2001-08-30;814.81
2001-08-31;817.59
2001-09-03;802.03
2001-09-04;821.47
2001-09-05;802.76
2001-09-06;798.58
2001-09-07;790.7
2001-09-10;785.44
2001-09-11;722.8
2001-09-12;759.86
2001-09-13;788.31
2001-09-14;772.99
2001-09-17;785.12
2001-09-18;770.49
2001-09-19;758.21
2001-09-20;707.89
2001-09-21;689.16
2001-09-24;711.63
2001-09-25;696.37
2001-09-26;678.59
2001-09-27;690.2
2001-09-28;706
2001-10-01;698.79
2001-10-02;704.38
2001-10-03;701.93
2001-10-04;710.69
2001-10-05;704.83
2001-10-08;697.19
2001-10-09;689.4
2001-10-10;709.22
2001-10-11;751.61
2001-10-12;732.19
2001-10-15;723.93
2001-10-16;724.91
2001-10-17;743.16
2001-10-18;723.29
2001-10-19;713.45
2001-10-22;707.44
2001-10-23;720.47
2001-10-24;727.95
2001-10-25;706.2
2001-10-26;724.68
2001-10-29;710.71
2001-10-30;672.36
2001-10-31;672
2001-11-01;661.85
2001-11-02;654.68
2001-11-05;663.55
2001-11-06;671.38
2001-11-07;685.45
2001-11-08;708.08
2001-11-09;692.32
2001-11-12;682.67
2001-11-13;703.23
2001-11-14;708.68
2001-11-15;713.57
2001-11-16;725.45
2001-11-19;737.44
2001-11-20;725.41
2001-11-21;730.4
2001-11-22;738.88
2001-11-23;742.15
2001-11-26;743.7
2001-11-27;746.8
2001-11-28;745.79
2001-11-29;754.92
2001-11-30;753.14
2001-12-03;743.85
2001-12-04;743.97
2001-12-05;781.23
2001-12-06;780.14
2001-12-07;776.51
2001-12-10;766.26
2001-12-11;758.34
2001-12-12;757.63
2001-12-13;754.83
2001-12-14;742.35
2001-12-17;756.02
2001-12-18;768.99
2001-12-19;766.67
2001-12-20;764.29
2001-12-21;778.6
2001-12-27;791.28
2001-12-28;794.14
2002-01-02;780.73
2002-01-03;814.66
2002-01-04;815.88
2002-01-07;806
2002-01-08;792.88
2002-01-09;804.46
2002-01-10;794.33
2002-01-11;801.14
2002-01-14;780.66
2002-01-15;769.04
2002-01-16;756.52
2002-01-17;766.8
2002-01-18;772.02
2002-01-21;771.66
2002-01-22;773.32
2002-01-23;785.22
2002-01-24;779.89
2002-01-25;780.22
2002-01-28;779.12
