2021Oct,0.0558,Normal value (A)
2021Sep,0.0634,Normal value (A)
2021Aug,0.0356,Normal value (A)
2021Jul,0.0792,Normal value (A)
2021Jun,0.0322,Normal value (A)
2021May,0.0590,Normal value (A)
2021Apr,0.0327,Normal value (A)
2021Mar,0.0417,Normal value (A)
2021Feb,0.0397,Normal value (A)
2021Jan,0.0293,Normal value (A)
2020Dec,0.0434,Normal value (A)
2020Nov,0.0756,Normal value (A)
2020Oct,0.0533,Normal value (A)
2020Sep,0.0787,Normal value (A)
2020Aug,0.0725,Normal value (A)
2020Jul,0.1051,Normal value (A)
2020Jun,0.1377,Normal value (A)
2020May,0.1554,Normal value (A)
2020Apr,0.2041,Normal value (A)
2020Mar,0.2523,Normal value (A)
2020Feb,0.1296,Normal value (A)
2020Jan,0.0788,Normal value (A)
2019Dec,0.0712,Normal value (A)
2019Nov,0.0573,Normal value (A)
2019Oct,0.1101,Normal value (A)
2019Sep,0.0681,Normal value (A)
2019Aug,0.1611,Normal value (A)
2019Jul,0.1127,Normal value (A)
2019Jun,0.1318,Normal value (A)
2019May,0.1468,Normal value (A)
2019Apr,0.0549,Normal value (A)
2019Mar,0.0613,Normal value (A)
2019Feb,0.0615,Normal value (A)
2019Jan,0.0471,Normal value (A)
2018Dec,0.0638,Normal value (A)
2018Nov,0.0670,Normal value (A)
2018Oct,0.0636,Normal value (A)
2018Sep,0.0343,Normal value (A)
2018Aug,0.0592,Normal value (A)
2018Jul,0.0586,Normal value (A)
2018Jun,0.0607,Normal value (A)
2018May,0.0713,Normal value (A)
2018Apr,0.1183,Normal value (A)
2018Mar,0.1418,Normal value (A)
2018Feb,0.1322,Normal value (A)
2018Jan,0.0897,Normal value (A)
2017Dec,0.0484,Normal value (A)
2017Nov,0.0621,Normal value (A)
2017Oct,0.0643,Normal value (A)
2017Sep,0.0707,Normal value (A)
2017Aug,0.0897,Normal value (A)
2017Jul,0.1104,Normal value (A)
2017Jun,0.0311,Normal value (A)
2017May,0.0321,Normal value (A)
2017Apr,0.0485,Normal value (A)
2017Mar,0.0353,Normal value (A)
2017Feb,0.0393,Normal value (A)
2017Jan,0.0474,Normal value (A)
2016Dec,0.0707,Normal value (A)
2016Nov,0.0849,Normal value (A)
2016Oct,0.0785,Normal value (A)
2016Sep,0.0778,Normal value (A)
2016Aug,0.0346,Normal value (A)
2016Jul,0.0390,Normal value (A)
2016Jun,0.0697,Normal value (A)
2016May,0.0575,Normal value (A)
2016Apr,0.0652,Normal value (A)
2016Mar,0.0513,Normal value (A)
2016Feb,0.0988,Normal value (A)
2016Jan,0.0946,Normal value (A)
2015Dec,0.0879,Normal value (A)
2015Nov,0.0516,Normal value (A)
2015Oct,0.0578,Normal value (A)
2015Sep,0.0655,Normal value (A)
2015Aug,0.0703,Normal value (A)
2015Jul,0.0463,Normal value (A)
2015Jun,0.0548,Normal value (A)
2015May,0.0559,Normal value (A)
2015Apr,0.0501,Normal value (A)
2015Mar,0.0349,Normal value (A)
2015Feb,0.0473,Normal value (A)
2015Jan,0.0387,Normal value (A)
2014Dec,0.0447,Normal value (A)
2014Nov,0.0303,Normal value (A)
2014Oct,0.0414,Normal value (A)
2014Sep,0.0442,Normal value (A)
2014Aug,0.0282,Normal value (A)
2014Jul,0.0591,Normal value (A)
2014Jun,0.0625,Normal value (A)
2014May,0.0303,Normal value (A)
2014Apr,0.0819,Normal value (A)
2014Mar,0.0343,Normal value (A)
2014Feb,0.0315,Normal value (A)
2014Jan,0.0468,Normal value (A)
2013Dec,0.0260,Normal value (A)
2013Nov,0.0817,Normal value (A)
2013Oct,0.0366,Normal value (A)
2013Sep,0.0474,Normal value (A)
2013Aug,0.0414,Normal value (A)
2013Jul,0.0345,Normal value (A)
2013Jun,0.0461,Normal value (A)
2013May,0.1023,Normal value (A)
2013Apr,0.1016,Normal value (A)
2013Mar,0.0996,Normal value (A)
2013Feb,0.0895,Normal value (A)
2013Jan,0.0612,Normal value (A)
2012Dec,0.0583,Normal value (A)
2012Nov,0.0771,Normal value (A)
2012Oct,0.0989,Normal value (A)
2012Sep,0.1571,Normal value (A)
2012Aug,0.1490,Normal value (A)
2012Jul,0.1138,Normal value (A)
2012Jun,0.1137,Normal value (A)
2012May,0.1145,Normal value (A)
2012Apr,0.1092,Normal value (A)
2012Mar,0.0774,Normal value (A)
2012Feb,0.0564,Normal value (A)
2012Jan,0.0672,Normal value (A)
2011Dec,0.0890,Normal value (A)
2011Nov,0.1242,Normal value (A)
2011Oct,0.1307,Normal value (A)
2011Sep,0.1340,Normal value (A)
2011Aug,0.1220,Normal value (A)
2011Jul,0.0525,Normal value (A)
2011Jun,0.0470,Normal value (A)
2011May,0.0371,Normal value (A)
2011Apr,0.0351,Normal value (A)
2011Mar,0.0387,Normal value (A)
2011Feb,0.0813,Normal value (A)
2011Jan,0.0925,Normal value (A)
2010Dec,0.1441,Normal value (A)
2010Nov,0.1326,Normal value (A)
2010Oct,0.1514,Normal value (A)
2010Sep,0.1964,Normal value (A)
2010Aug,0.1097,Normal value (A)
2010Jul,0.1662,Normal value (A)
2010Jun,0.1418,Normal value (A)
2010May,0.2393,Normal value (A)
2010Apr,0.1032,Normal value (A)
2010Mar,0.1722,Normal value (A)
2010Feb,0.2066,Normal value (A)
2010Jan,0.2259,Normal value (A)
2009Dec,0.2955,Normal value (A)
2009Nov,0.2867,Normal value (A)
2009Oct,0.4266,Normal value (A)
2009Sep,0.3962,Normal value (A)
2009Aug,0.5719,Normal value (A)
2009Jul,0.3094,Normal value (A)
2009Jun,0.4762,Normal value (A)
2009May,0.5473,Normal value (A)
2009Apr,0.6270,Normal value (A)
2009Mar,0.6206,Normal value (A)
2009Feb,0.6185,Normal value (A)
2009Jan,0.3468,Normal value (A)
2008Dec,0.5607,Normal value (A)
2008Nov,0.5450,Normal value (A)
2008Oct,0.3930,Normal value (A)
2008Sep,0.1928,Normal value (A)
2008Aug,0.0856,Normal value (A)
2008Jul,0.1437,Normal value (A)
2008Jun,0.0880,Normal value (A)
2008May,0.0774,Normal value (A)
2008Apr,0.0960,Normal value (A)
2008Mar,0.1312,Normal value (A)
2008Feb,0.1238,Normal value (A)
2008Jan,0.1253,Normal value (A)
2007Dec,0.1004,Normal value (A)
2007Nov,0.1069,Normal value (A)
2007Oct,0.1255,Normal value (A)
2007Sep,0.1497,Normal value (A)
2007Aug,0.1519,Normal value (A)
2007Jul,0.0848,Normal value (A)
2007Jun,0.0980,Normal value (A)
2007May,0.0494,Normal value (A)
2007Apr,0.0487,Normal value (A)
2007Mar,0.0707,Normal value (A)
2007Feb,0.0679,Normal value (A)
2007Jan,0.0555,Normal value (A)
2006Dec,0.0664,Normal value (A)
2006Nov,0.1092,Normal value (A)
2006Oct,0.0543,Normal value (A)
2006Sep,0.0598,Normal value (A)
2006Aug,0.0570,Normal value (A)
2006Jul,0.0663,Normal value (A)
2006Jun,0.1157,Normal value (A)
2006May,0.0904,Normal value (A)
2006Apr,0.0591,Normal value (A)
2006Mar,0.0284,Normal value (A)
2006Feb,0.0301,Normal value (A)
2006Jan,0.0327,Normal value (A)
2005Dec,0.0515,Normal value (A)
2005Nov,0.0950,Normal value (A)
2005Oct,0.0665,Normal value (A)
2005Sep,0.0427,Normal value (A)
2005Aug,0.0722,Normal value (A)
2005Jul,0.1232,Normal value (A)
2005Jun,0.1313,Normal value (A)
2005May,0.0966,Normal value (A)
2005Apr,0.0678,Normal value (A)
2005Mar,0.0393,Normal value (A)
2005Feb,0.0973,Normal value (A)
2005Jan,0.1277,Normal value (A)
2004Dec,0.1285,Normal value (A)
2004Nov,0.0820,Normal value (A)
2004Oct,0.0714,Normal value (A)
2004Sep,0.0893,Normal value (A)
2004Aug,0.0634,Normal value (A)
2004Jul,0.0750,Normal value (A)
2004Jun,0.1155,Normal value (A)
2004May,0.1428,Normal value (A)
2004Apr,0.1257,Normal value (A)
2004Mar,0.1710,Normal value (A)
2004Feb,0.1842,Normal value (A)
2004Jan,0.1607,Normal value (A)
2003Dec,0.1309,Normal value (A)
2003Nov,0.1154,Normal value (A)
2003Oct,0.2507,Normal value (A)
2003Sep,0.2304,Normal value (A)
2003Aug,0.1512,Normal value (A)
2003Jul,0.2191,Normal value (A)
2003Jun,0.1825,Normal value (A)
2003May,0.2223,Normal value (A)
2003Apr,0.1252,Normal value (A)
2003Mar,0.1336,Normal value (A)
2003Feb,0.1838,Normal value (A)
2003Jan,0.0913,Normal value (A)
2002Dec,0.0521,Normal value (A)
2002Nov,0.1059,Normal value (A)
2002Oct,0.1247,Normal value (A)
2002Sep,0.0992,Normal value (A)
2002Aug,0.0504,Normal value (A)
2002Jul,0.1094,Normal value (A)
2002Jun,0.1457,Normal value (A)
2002May,0.0488,Normal value (A)
2002Apr,0.0923,Normal value (A)
2002Mar,0.1144,Normal value (A)
2002Feb,0.0211,Normal value (A)
2002Jan,0.0991,Normal value (A)
2001Dec,0.0284,Normal value (A)
2001Nov,0.1348,Normal value (A)
2001Oct,0.1468,Normal value (A)
2001Sep,0.2160,Normal value (A)
2001Aug,0.1177,Normal value (A)
2001Jul,0.1083,Normal value (A)
2001Jun,0.1563,Normal value (A)
2001May,0.0479,Normal value (A)
2001Apr,0.0986,Normal value (A)
2001Mar,0.2160,Normal value (A)
2001Feb,0.1812,Normal value (A)
2001Jan,0.1788,Normal value (A)
2000Dec,0.1652,Normal value (A)
2000Nov,0.1395,Normal value (A)
2000Oct,0.1743,Normal value (A)
2000Sep,0.0930,Normal value (A)
2000Aug,0.0564,Normal value (A)
2000Jul,0.0637,Normal value (A)
2000Jun,0.0735,Normal value (A)
2000May,0.0833,Normal value (A)
2000Apr,0.0932,Normal value (A)
2000Mar,0.1602,Normal value (A)
